Suburb Name,Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Biggera Waters-Labrador,Gold Coast East,19875,20639,21200,21511,21741,22306,22531,22782,23261,23578,23823
Bilinga-Tugun,Gold Coast East,6135,6284,6413,6535,6608,6725,6856,6855,6939,7227,7578
Broadbeach-Mermaid Beach,Gold Coast East,9439,9860,10206,10327,10268,10530,10964,10923,11532,11830,11840
Broadbeach Waters,Gold Coast East,7754,7806,7837,7905,7955,8066,8120,8247,8277,8408,8447
Bundall,Gold Coast East,4270,4315,4342,4368,4383,4446,4526,4529,4604,4676,4759
Burleigh Heads,Gold Coast East,7490,7693,7735,7838,8040,8243,8412,8525,8713,8818,9053
Burleigh Waters,Gold Coast East,13233,13503,13538,13559,13538,13629,13784,13919,14142,14347,14516
Coolangatta,Gold Coast East,4601,4712,4807,4978,5129,5264,5408,5496,5450,5485,5687
Currumbin,Gold Coast East,2709,2742,2787,2809,2842,2917,3003,2997,3025,3074,3073
Main Beach-South Stradbroke,Gold Coast East,3447,3414,3517,3622,3661,3664,3595,3532,3572,3589,3623
Mermaid Wtrs-Clear Is. Wtrs,Gold Coast East,16011,16341,16571,16734,16849,17065,17268,17308,17516,17755,17827
Miami,Gold Coast East,6026,6186,6304,6454,6573,6711,6841,6965,6995,7059,7181
Palm Beach,Gold Coast East,13279,13654,13875,14049,14259,14526,14737,15003,15207,15417,15524
Paradise Point-Runaway Bay,Gold Coast East,16283,16477,16576,16791,17028,17411,17712,18076,18566,18958,19347
Southport,Gold Coast East,23040,23417,23533,24003,24830,25909,26731,27534,28913,29974,30364
Surfers Paradise,Gold Coast East,16896,17188,18228,18905,19554,20236,20638,20747,20701,20644,20661
Ashmore-Benowa,Gold Coast West,18921,19294,19536,19842,19985,20274,20699,20852,21106,21344,21506
Carrara-Merrimac,Gold Coast West,15026,15426,15945,16534,17123,17610,17925,18172,18604,18773,18832
Coombabah,Gold Coast West,9252,9412,9500,9614,9757,9911,10178,10263,10374,10579,10791
Currumbin Valley-Tallebudgera,Gold Coast West,5984,6113,6414,6568,6680,6817,7069,7025,7475,7788,7829
Currumbin Waters,Gold Coast West,9819,9980,10150,10137,10145,10244,10284,10411,10530,10719,10739
Elanora,Gold Coast West,11013,11718,12303,12379,12460,12514,12539,12496,12724,12887,12982
Helensvale,Gold Coast West,13877,14569,15170,15244,15422,15750,16106,16734,17212,17531,17915
Hope Island,Gold Coast West,3887,4026,4380,5084,5394,5805,6722,7524,7996,8332,8780
Jacobs Well-Alberton,Gold Coast West,2557,2646,2779,2932,3048,3145,3212,3423,3535,3637,3728
Kingsholme-Upper Coomera,Gold Coast West,7650,8702,9336,10241,13018,15509,18224,21112,23192,24377,25710
Molendinar,Gold Coast West,3679,4191,4753,5310,5624,5998,6389,6673,6796,6895,6975
Mudgeeraba-Reedy Creek,Gold Coast West,18373,19025,19869,20610,21154,22009,23160,23902,24569,25393,26034
Nerang,Gold Coast West,21374,22058,23405,24350,24863,25265,26444,26869,27556,27924,28101
Oxenford-Maudsland,Gold Coast West,8536,9139,9900,10698,11538,12181,13231,13955,14596,14993,15435
Pacific Pines-Gaven,Gold Coast West,5227,6693,8097,9132,10325,11800,12896,13792,14619,15458,15954
Ormeau-Yatala,Gold Coast West,6679,7380,8514,9452,10450,11387,12842,14225,15571,16339,16870
Parkwood-Arundel,Gold Coast West,16677,17642,18472,18824,18996,19156,19148,19539,19781,20172,20483
Pimpama-Coomera,Gold Coast West,3598,3973,4176,4440,5170,5814,6720,7801,8868,10122,11251
Robina,Gold Coast West,14209,15927,17638,19162,19930,20684,21471,21928,22480,22618,22673
Varsity Lakes,Gold Coast West,7105,8126,9468,11005,12082,12635,13806,14600,14729,14724,15091
Worongary-Tallai,Gold Coast West,9428,9560,9770,9805,9885,10026,10157,10342,10571,10732,10778
